Título,Precio_Rango,Ofertas,Pantalla_Tamaño de la pantalla,Pantalla_Tecnología de la pantalla,Pantalla_Luminosidad,Procesador_Procesador,Disco duro_Tipo de disco duro,Gráfica_Salida de vídeo,Conectividad_Lector de tarjetas,Comunicaciones_Versión Bluetooth,Cámara_Función de la cámara,Sonido_Número de altavoces,Alimentación_Batería,Alimentación_Autonomía de la batería,Alimentación_Vatios-hora,Alimentación_Alimentación,Medidas y peso_Material de la carcasa,Medidas y peso_Diseño,Medidas y peso_Profundidad,Medidas y peso_Ancho,Medidas y peso_Peso,Comunicaciones_Estándar wifi,Disco duro_Número de discos duros (instalados),Gráfica_Memoria gráfica,Sistema operativo_Sistema operativo,Sonido_Sistema de altavoces,Pantalla_Formato de imagen,Procesador_Caché,RAM_Memoria RAM,RAM_Tipo de RAM,Disco duro_Capacidad de memoria SSD,Alimentación_Número de celdas,Procesador_Número de núcleos del procesador,Procesador_Frecuencia de reloj,Procesador_Frecuencia turbo máx.,Gráfica_Tipo de memoria gráfica,Gráfica_Tarjeta gráfica,Almacenamiento_Lector óptico,Pantalla_Pantalla,Comunicaciones_Estándar LAN,Tipo,Propiedades de la carcasa_Tipo de caja,Medidas y peso_Alto,Propiedades de la carcasa_Alimentación,Procesador_Zócalo de CPU,Procesador_Número de hilos de ejecución,Procesador_TDP,product_type_group,is_laptop,marca,screen_size_class,screen_width_px,screen_height_px,screen_total_px,screen_resolution_class,SSD_missing,Disco duro_Numero de discos,Comunicaciones_bluetooth,Comunicaciones_lan,Comunicaciones_missing,Comunicaciones_nfc,Comunicaciones_infrarrojos,Comunicaciones_wifidirect,Comunicaciones_ethernet,has_webcam,GPU_missing,has_webcam_from_equipamiento,años_desde_lanzamiento,release_year_missing
"Apple MacBook Air 13"" 2024 M3",1656.85,200,13.6,Retina,500.0,Apple M3 Family,SSD,Thunderbolt,ninguno,5.3,compatible con HD,4.0,lithium,15.0,52.6,30.0,metal,standard,21.5,30.4,1.24,missing,-1,8.192,no_os,other,16:9,54.0,16.0,Unknown,512.0,3,8.0,1.0,4.0,Unified,Apple GPUs,ninguno,None,none,Laptop,missing,1.1,missing,None,12,45.0,Laptop – Standard,1,Apple,34–37 cm,1920.0,1080.0,2073600.0,2–4MP,1,-1,1,0,0,0,0,0,0,1,1,1,1,False
"Apple MacBook Air 15"" 2024 M3",1971.335,230,15.3,Retina,500.0,Apple M3 Family,SSD,Thunderbolt,ninguno,5.3,compatible con HD,6.0,lithium,15.0,66.5,35.0,metal,standard,23.8,34.0,1.51,Wi-Fi 6/6E,-1,8.192,no_os,other,16:9,54.0,16.0,Unknown,512.0,3,8.0,1.0,4.0,Unified,Apple GPUs,ninguno,None,none,Laptop,missing,1.2,missing,None,12,45.0,Laptop – Standard,1,Apple,37–41 cm,1920.0,1080.0,2073600.0,2–4MP,1,-1,1,0,0,0,0,0,0,1,1,1,1,False
"Apple MacBook Pro 14"" M4 (2024)",3331.8450000000003,136,14.2,Retina,1000.0,Apple M3 Family,SSD,Thunderbolt,integrado,5.3,compatible con HD,6.0,lithium,13.0,70.0,67.0,metal,standard,22.1,31.3,1.6,Wi-Fi 6/6E,1,8.192,macos,altavoces estéreo,16:9,54.0,16.0,Unknown,512.0,3,8.0,1.0,4.0,Unified,Apple GPUs,ninguno,None,none,Laptop,missing,1.6,missing,None,12,45.0,Laptop – Standard,1,Apple,34–37 cm,3024,1964,5939136,>4MP,1,1,1,0,0,0,0,0,0,1,1,1,1,False
ASUS TUF Gaming A15 FA506 (2024),839.355,30,15.6,Full HD,300.0,Intel Core i7,SSD,HDMI,missing,5.2,compatible con HD,2.0,lithium,7.0,48.0,230.0,missing,standard,25.6,35.9,2.3,Wi-Fi 6/6E,1,8.192,no_os,other,16:9,16.0,16.0,ddr5,512.0,3,10.0,1.0,5.0,GDDR6,NVIDIA GeForce RTX 4060 Series,ninguno,None,none,Laptop,missing,2.3,missing,None,24,55.0,Laptop – Gaming,1,ASUS,37–41 cm,1920,1080,2073600,2–4MP,0,1,1,1,0,0,0,0,0,1,1,1,1,False
GigaByte Aero 16 OLED BKF,1550.6499999999999,29,16.0,UHD+,600.0,Intel Core i7,SSD,HDMI,integrado,5.2,compatible con HD,2.0,lithium,7.0,88.0,240.0,missing,standard,25.5,35.4,1.9,Wi-Fi 6/6E,1,8.192,windows 11 home,other,16:10,24.0,16.0,ddr5,1000.0,4,14.0,1.0,5.0,GDDR6,NVIDIA GeForce RTX 4060 Series,ninguno,None,none,Laptop,missing,2.2,missing,None,24,45.0,Laptop – Gaming,1,GigaByte,37–41 cm,1920.0,1080.0,2073600.0,2–4MP,0,1,1,0,0,0,0,0,0,1,1,1,2,False
"ASUS Zenbook 14 OLED UX3405
UX3405MA-PP606W",1057.725,18,14.0,3K,400.0,Intel Core Ultra,Unknown,HDMI,integrado,5.3,compatible con HD,2.0,lithium,10.0,75.0,65.0,missing,standard,22.0,31.2,1.2,Wi-Fi 6/6E,1,8.192,windows 11 home,other,16:10,24.0,16.0,lpddr,512.0,4,16.0,3.0,4.0,GDDR6,Intel Arc,ninguno,None,none,Laptop,missing,1.5,missing,None,22,28.0,Laptop – Standard,1,ASUS,34–37 cm,2880,1800,5184000,>4MP,0,1,1,0,0,0,0,0,0,1,0,1,2,False
ASUS ROG Zephyrus G16 GA605,3154.6099999999997,5,16.0,Other,300.0,Others,Unknown,HDMI,integrado,5.4,compatible con HD,4.0,lithium,7.0,90.0,200.0,missing,standard,24.6,35.4,1.85,Wi-Fi 7,1,8.192,windows 11 home,Dolby Atmos,16:10,10.0,16.0,Unknown,1000.0,4,4.0,1.0,4.0,GDDR6,NVIDIA GeForce RTX 4060 Series,ninguno,None,none,Laptop,missing,1.6,missing,None,4,15.0,Laptop – Gaming,1,ASUS,37–41 cm,1920.0,1080.0,2073600.0,2–4MP,0,1,1,0,0,0,0,0,0,1,1,1,1,False
"ASUS Zenbook 14 Duo OLED UX8406
UX8406MA-PZ255W",2185.005,26,14.0,3K,400.0,Intel Core Ultra,SSD,HDMI,missing,5.3,compatible con HD,2.0,lithium,10.0,75.0,65.0,missing,standard,21.8,31.4,1.65,Wi-Fi 6/6E,1,8.192,windows 11 home,Harman Kardon,16:10,24.0,32.0,lpddr,1000.0,4,16.0,3.0,5.0,GDDR6,Intel Arc,ninguno,None,none,Laptop,missing,2.0,missing,None,22,28.0,Laptop – Standard,1,ASUS,34–37 cm,2880,1800,5184000,>4MP,0,1,1,0,0,0,0,0,0,1,0,1,1,False
ASUS Zenbook 14 OLED UM3406,977.4749999999999,34,14.0,Other,400.0,AMD Ryzen 7,Unknown,HDMI,integrado,5.3,compatible con HD,2.0,lithium,10.0,75.0,65.0,missing,standard,22.0,31.2,1.2,Wi-Fi 6/6E,-1,8.192,no_os,other,16:10,24.0,16.0,Unknown,512.0,4,8.0,3.0,5.0,Shared,Intel Iris,ninguno,OLED,none,Laptop,missing,1.5,missing,None,16,28.0,Laptop – Standard,1,ASUS,34–37 cm,1920.0,1080.0,2073600.0,2–4MP,1,-1,1,0,0,0,0,0,0,1,1,1,1,False
"Apple MacBook Air 13"" 2022 M2",1304.335,117,13.6,Other,500.0,Intel Core i5,Unknown,Thunderbolt,ninguno,5.0,compatible con HD,4.0,lithium,15.0,52.6,30.0,metal,standard,21.5,30.4,1.24,missing,-1,8.192,no_os,other,16:9,12.0,16.0,Unknown,512.0,3,10.0,0.0029,4.0,Shared,Intel Iris,ninguno,None,none,Laptop,missing,1.1,missing,None,12,45.0,Laptop – Standard,1,Apple,34–37 cm,1920.0,1080.0,2073600.0,2–4MP,1,-1,1,0,0,0,0,0,0,1,1,1,3,False
Lenovo V15 G4,799.49,451,15.6,Other,250.0,Intel Core i5,Unknown,HDMI,integrado,5.1,missing,0.0,lithium,8.4,38.0,65.0,missing,standard,23.6,35.9,1.65,missing,-1,8.192,no_os,missing,16:9,12.0,16.0,Unknown,512.0,2,10.0,0.0029,4.0,Shared,Intel Iris,ninguno,None,Gigabit Ethernet,Laptop,missing,2.0,missing,None,12,45.0,Laptop – Standard,1,Lenovo,37–41 cm,1920.0,1080.0,2073600.0,2–4MP,1,-1,1,1,0,0,0,0,0,1,1,1,2,False
ASUS Vivobook Go 15 E1504FA,671.28,166,15.6,Other,250.0,Intel Core i7,Unknown,HDMI,missing,0.0,missing,2.0,lithium,15.0,50.0,65.0,missing,standard,23.25,36.03,1.63,missing,-1,8.192,no_os,SonicMaster,16:9,24.0,16.0,Unknown,512.0,3,10.0,1.0,5.0,Shared,Intel Iris,ninguno,None,none,Laptop,missing,1.8,missing,None,24,55.0,Laptop – Standard,1,ASUS,37–41 cm,1920.0,1080.0,2073600.0,2–4MP,1,-1,1,0,0,0,0,0,0,1,1,1,2,False
Lenovo LOQ 15 G9 2024,1312.56,61,15.6,Other,300.0,Intel Core i7,Unknown,HDMI,missing,5.1,compatible con HD,2.0,lithium,5.3,60.0,170.0,missing,standard,25.9,36.0,2.38,Wi-Fi 6/6E,-1,8.192,no_os,altavoces estéreo,16:9,24.0,16.0,Unknown,512.0,4,10.0,1.0,5.0,GDDR6,NVIDIA GeForce RTX 4060 Series,ninguno,None,Gigabit Ethernet,Laptop,missing,2.4,missing,None,24,55.0,Laptop – Gaming,1,Lenovo,37–41 cm,1920.0,1080.0,2073600.0,2–4MP,1,-1,1,1,0,0,0,0,0,1,1,1,1,False
GigaByte Aero 16 OLED BSF,2008.0549999999998,20,16.0,Other,600.0,Intel Core i7,Unknown,HDMI,integrado,5.2,compatible con HD,2.0,lithium,7.0,88.0,240.0,missing,standard,25.5,35.4,2.1,Wi-Fi 6/6E,-1,8.192,no_os,other,16:10,24.0,16.0,Unknown,512.0,4,10.0,1.0,5.0,GDDR6,NVIDIA GeForce RTX 4060 Series,ninguno,OLED,none,Laptop,missing,2.2,missing,None,24,55.0,Laptop – Gaming,1,GigaByte,37–41 cm,1920.0,1080.0,2073600.0,2–4MP,1,-1,1,0,0,0,0,0,0,1,1,1,2,False
ASUS ROG Zephyrus G14 GA403,2796.7650000000003,22,14.0,Other,500.0,Intel Core i7,Unknown,HDMI,integrado,5.3,compatible con HD,4.0,lithium,7.0,73.0,180.0,missing,standard,22.0,31.1,1.5,Wi-Fi 6/6E,-1,8.192,no_os,other,16:10,24.0,16.0,Unknown,1000.0,4,10.0,1.0,5.0,GDDR6,NVIDIA GeForce RTX 4060 Series,ninguno,None,none,Laptop,missing,1.6,missing,None,24,55.0,Laptop – Gaming,1,ASUS,34–37 cm,1920.0,1080.0,2073600.0,2–4MP,0,-1,1,0,0,0,0,0,0,1,1,1,1,False
Samsung Galaxy Book 4,988.0,66,15.6,Full HD,300.0,Intel Core i5,SSD,HDMI,integrado,5.3,compatible con HD,2.0,lithium,15.0,54.0,45.0,missing,standard,22.9,35.7,1.55,Wi-Fi 6/6E,1,8.192,other,Dolby Atmos,16:9,12.0,16.0,Unknown,512.0,3,10.0,0.0029,4.0,Shared,Intel Iris,ninguno,panorámica,Gigabit Ethernet,Laptop,missing,1.5,missing,None,12,15.0,Laptop – Standard,1,Samsung,37–41 cm,1920.0,1080.0,2073600.0,2–4MP,1,1,1,1,0,0,0,0,0,1,1,1,1,False
Lenovo LOQ 15,1291.9650000000001,61,15.6,Other,350.0,Intel Core i7,Unknown,HDMI,missing,5.1,compatible con HD,2.0,lithium,5.3,60.0,170.0,missing,standard,26.5,36.0,2.4,Wi-Fi 6/6E,-1,8.192,no_os,altavoces estéreo,16:9,24.0,16.0,Unknown,512.0,4,10.0,1.0,5.0,GDDR6,NVIDIA GeForce RTX 4060 Series,ninguno,panorámica,Gigabit Ethernet,Laptop,missing,2.5,missing,None,24,55.0,Laptop – Gaming,1,Lenovo,37–41 cm,1920.0,1080.0,2073600.0,2–4MP,1,-1,1,1,0,0,0,0,0,1,1,1,2,False
ASUS Vivobook 15 (12th Gen F1504),681.495,217,15.6,Other,300.0,Intel Core Ultra,Unknown,HDMI,missing,0.0,compatible con HD,2.0,lithium,23.0,42.0,65.0,missing,standard,23.25,35.97,1.7,missing,-1,8.192,no_os,SonicMaster,16:9,24.0,16.0,Unknown,512.0,3,16.0,3.0,4.0,Shared,Intel Iris,ninguno,None,none,Laptop,missing,1.7,missing,None,22,28.0,Laptop – Standard,1,ASUS,37–41 cm,1920.0,1080.0,2073600.0,2–4MP,1,-1,1,0,0,0,0,0,0,1,1,1,2,True
"GigaByte Aero 16 OLED BSF
BSF-H3ES954SH",1434.525,19,16.0,Other,600.0,Intel Core i7,SSD,HDMI,integrado,5.2,compatible con HD,2.0,lithium,7.0,88.0,240.0,missing,standard,25.5,35.4,2.1,Wi-Fi 6/6E,1,8.192,windows 11 home,other,16:10,24.0,16.0,ddr5,1000.0,4,10.0,1.0,4.0,GDDR6,NVIDIA GeForce RTX 4070 Series,ninguno,None,none,Laptop,missing,2.2,missing,None,24,45.0,Laptop – Gaming,1,GigaByte,37–41 cm,3840,2400,9216000,>4MP,0,1,1,0,0,0,0,0,0,1,0,1,2,False
Lenovo V15 G2,597.9300000000001,96,15.6,Other,250.0,Intel Core i5,Unknown,HDMI,missing,5.0,compatible con HD,2.0,lithium,5.5,38.0,65.0,missing,standard,23.6,35.9,1.7,missing,-1,8.192,no_os,altavoces estéreo,16:9,12.0,16.0,Unknown,512.0,3,10.0,0.0029,4.0,Shared,Intel Iris,ninguno,panorámica,Gigabit Ethernet,Laptop,missing,2.0,missing,None,12,45.0,Laptop – Standard,1,Lenovo,37–41 cm,1920.0,1080.0,2073600.0,2–4MP,1,-1,1,1,0,0,0,0,0,1,1,1,4,False
LG Gram 15 (2024),1723.83,81,15.6,Full HD,350.0,Intel Core Ultra,SSD,HDMI,missing,5.3,compatible con HD,2.0,lithium,23.0,72.0,65.0,metal,standard,22.3,35.6,1.2,Wi-Fi 6/6E,1,8.192,no_os,other,16:9,24.0,16.0,lpddr,512.0,4,16.0,3.0,4.0,Shared,Intel Iris,ninguno,IPS,Gigabit Ethernet,Laptop,missing,1.7,missing,None,22,28.0,Laptop – Standard,1,LG,37–41 cm,1920,1080,2073600,2–4MP,1,1,1,1,0,0,0,0,0,1,1,1,1,False
"ASUS Zenbook 14 OLED UM3406
UM3406HA-QD067W",963.51,23,14.0,WUXGA,400.0,AMD Ryzen 7,Unknown,HDMI,integrado,5.3,compatible con HD,2.0,lithium,10.0,75.0,65.0,missing,standard,22.0,31.2,1.2,Wi-Fi 6/6E,1,8.192,windows 11 home,other,16:10,24.0,16.0,lpddr,512.0,4,8.0,3.0,5.0,GDDR5,AMD Radeon Other,ninguno,None,none,Laptop,missing,1.5,missing,None,16,28.0,Laptop – Standard,1,ASUS,34–37 cm,1920,1200,2304000,2–4MP,0,1,1,0,0,0,0,0,0,1,0,1,1,False
GigaByte Aorus 16X 2024,1980.835,46,16.0,WQXGA,300.0,Intel Core i7,SSD,HDMI,integrado,5.4,compatible con HD,2.0,lithium,7.0,99.0,240.0,missing,standard,25.4,35.6,2.3,Wi-Fi 7,1,8.192,other,other,16:10,24.0,16.0,Unknown,512.0,4,10.0,1.0,5.0,GDDR6,NVIDIA GeForce RTX 4060 Series,ninguno,None,Gigabit Ethernet,Laptop,missing,2.7,missing,None,24,55.0,Laptop – Gaming,1,GigaByte,37–41 cm,1920.0,1080.0,2073600.0,2–4MP,1,1,1,1,0,0,0,0,0,1,1,1,1,False
"Apple MacBook Air 13"" 2024 M3
Silver MC8H4Y/A",1170.855,7,13.6,Retina,500.0,Apple M3 Family,SSD,Thunderbolt,ninguno,5.3,compatible con HD,4.0,lithium,15.0,52.6,30.0,metal,standard,21.5,30.4,1.24,missing,1,8.192,macos,other,16:9,54.0,16.0,Unknown,256.0,3,8.0,1.0,4.0,Unified,Apple GPUs,ninguno,brillante,none,Laptop,missing,1.1,missing,None,12,45.0,Laptop – Standard,1,Apple,34–37 cm,2560,1664,4259840,>4MP,0,1,1,0,0,0,0,0,0,1,0,1,1,False
ASUS Zenbook 14 OLED UX3405,1580.4499999999998,45,14.0,Other,400.0,Intel Core i5,Unknown,HDMI,integrado,5.3,compatible con HD,2.0,lithium,10.0,75.0,65.0,missing,standard,22.0,31.2,1.2,Wi-Fi 6/6E,1,8.192,no_os,other,16:10,12.0,16.0,Unknown,512.0,4,10.0,0.0029,4.0,Shared,Intel Iris,ninguno,OLED,none,Laptop,missing,1.5,missing,None,12,45.0,Laptop – Standard,1,ASUS,34–37 cm,1920.0,1080.0,2073600.0,2–4MP,1,1,1,0,0,0,0,0,0,1,1,1,2,False
"ASUS TUF Gaming A15 FA506 (2024)
FA506NCR-HN006",683.5,2,15.6,Full HD,300.0,AMD Ryzen 7,Unknown,HDMI,missing,5.2,compatible con HD,2.0,lithium,7.0,48.0,230.0,missing,standard,25.6,35.9,2.3,Wi-Fi 6/6E,1,4.096,no_os,other,16:9,16.0,16.0,ddr5,512.0,3,8.0,3.0,4.0,GDDR6,NVIDIA GeForce RTX 3050 Series,ninguno,None,none,Laptop,missing,2.3,missing,None,16,54.0,Laptop – Gaming,1,ASUS,37–41 cm,1920,1080,2073600,2–4MP,0,1,1,1,0,0,0,0,0,1,0,1,1,False
"ASUS ROG Zephyrus G14 GA403
GA403UI-QS049",2302.6400000000003,16,14.0,3K,500.0,AMD Ryzen 9,Unknown,HDMI,integrado,5.3,compatible con HD,4.0,lithium,7.0,73.0,180.0,missing,standard,22.0,31.1,1.5,Wi-Fi 6/6E,1,8.192,no_os,other,16:10,24.0,32.0,lpddr,1000.0,4,8.0,4.0,5.0,GDDR6,NVIDIA GeForce RTX 4070 Series,ninguno,None,none,Laptop,missing,1.6,missing,None,24,45.0,Laptop – Gaming,1,ASUS,34–37 cm,2880,1800,5184000,>4MP,0,1,1,0,0,0,0,0,0,1,0,1,1,False
ASUS Vivobook S15 S5507,1265.855,81,15.6,Other,600.0,Qualcomm Snapdragon,Unknown,HDMI,integrado,5.4,compatible con HD,2.0,lithium,10.0,70.0,90.0,missing,standard,22.7,35.3,1.42,Wi-Fi 7,1,8.192,no_os,Harman Kardon,16:9,42.0,16.0,Unknown,512.0,3,12.0,3.0,3.0,Shared,Intel Iris,ninguno,None,none,Laptop,missing,1.6,missing,None,12,30.0,Laptop – Standard,1,ASUS,37–41 cm,1920.0,1080.0,2073600.0,2–4MP,1,1,1,0,0,0,0,0,0,1,1,1,1,False
ASUS Zenbook 14 Duo OLED UX8406,2916.13,73,14.0,Other,400.0,Intel Core i5,Unknown,HDMI,missing,5.3,compatible con HD,2.0,lithium,10.0,75.0,65.0,missing,standard,21.8,31.4,1.65,Wi-Fi 6/6E,1,8.192,other,Harman Kardon,16:10,12.0,16.0,Unknown,512.0,4,16.0,0.0029,4.0,GDDR6,Intel Arc,ninguno,OLED,none,Laptop,missing,2.0,missing,None,12,45.0,Laptop – Standard,1,ASUS,34–37 cm,1920.0,1080.0,2073600.0,2–4MP,1,1,1,0,0,0,0,0,0,1,0,1,1,False
HP ZBook Studio G10,3102.28,37,16.0,Other,500.0,Intel Core i5,Unknown,Thunderbolt,integrado,5.2,compatible con HD,4.0,lithium,10.0,86.0,200.0,missing,standard,24.2,35.6,1.73,missing,-1,8.192,windows 11 professional,other,16:10,12.0,16.0,Unknown,512.0,6,10.0,0.0029,4.0,Shared,Intel Iris,ninguno,None,none,Laptop,missing,1.9,missing,None,12,45.0,Laptop – Standard,1,HP,37–41 cm,1920.0,1080.0,2073600.0,2–4MP,1,-1,1,0,0,0,0,0,0,1,1,1,2,False
Samsung Galaxy Book 4 Pro 16,2480.915,43,16.0,Other,400.0,Intel Core i5,SSD,HDMI,integrado,5.3,compatible con HD,4.0,lithium,10.0,76.0,65.0,missing,standard,25.0,35.5,1.56,Wi-Fi 6/6E,1,8.192,other,Dolby Atmos,16:10,12.0,16.0,Unknown,512.0,3,10.0,0.0029,4.0,Shared,Intel Iris,ninguno,táctil,none,Laptop,missing,1.3,missing,None,12,28.0,Laptop – Standard,1,Samsung,37–41 cm,1920.0,1080.0,2073600.0,2–4MP,1,1,1,0,0,0,0,0,0,1,1,0,1,False
"Apple MacBook Pro 14"" M3 (2023)",3174.785,75,14.2,Other,1000.0,Intel Core i5,Unknown,HDMI,integrado,5.3,compatible con HD,6.0,lithium,15.0,70.0,67.0,metal,standard,22.1,31.3,1.6,Wi-Fi 6/6E,-1,8.192,macos,altavoces estéreo,16:9,12.0,16.0,Unknown,512.0,3,10.0,0.0029,4.0,Shared,Intel Iris,ninguno,None,none,Laptop,missing,1.6,missing,None,12,45.0,Laptop – Standard,1,Apple,34–37 cm,1920.0,1080.0,2073600.0,2–4MP,1,-1,1,0,0,0,0,0,0,1,1,1,2,False
ASUS Zenbook S14 OLED UX5406,2259.23,30,14.0,Other,400.0,Intel Core Ultra,Unknown,HDMI,missing,5.4,missing,0.0,lithium,13.0,72.0,45.0,metal,missing,22.95,35.3,1.63,missing,-1,8.192,other,missing,16:10,24.0,16.0,Unknown,1000.0,4,16.0,3.0,4.0,GDDR6,Intel Arc,ninguno,OLED,none,Laptop,missing,1.9,missing,None,22,28.0,Laptop – Standard,1,ASUS,34–37 cm,1920.0,1080.0,2073600.0,2–4MP,0,-1,1,0,0,0,0,0,0,1,1,0,2,True
Medion Akoya E15301,421.53999999999996,17,15.6,Full HD,300.0,Intel Core i5,SSD,HDMI,integrado,4.2,compatible con HD,2.0,lithium,8.0,45.0,65.0,missing,standard,24.0,35.9,1.87,Wi-Fi 5,1,8.192,no_os,altavoces estéreo,16:9,12.0,16.0,Unknown,512.0,2,10.0,0.0029,4.0,Shared,Intel Iris,ninguno,panorámica,none,Laptop,missing,2.0,missing,None,12,45.0,Laptop – Standard,1,Medion,37–41 cm,1920,1080,2073600,2–4MP,1,1,1,0,0,0,0,0,0,1,1,1,5,False
GigaByte Aorus 15 (2023),1401.915,29,15.6,Other,300.0,Intel Core i7,Unknown,HDMI,missing,5.2,compatible con HD,2.0,lithium,7.0,99.0,240.0,missing,standard,27.2,36.0,2.25,Wi-Fi 6/6E,-1,8.192,no_os,other,16:9,24.0,16.0,Unknown,512.0,4,10.0,1.0,5.0,GDDR6,NVIDIA GeForce RTX 4060 Series,ninguno,panorámica,none,Laptop,missing,2.1,missing,None,24,55.0,Laptop – Gaming,1,GigaByte,37–41 cm,1920.0,1080.0,2073600.0,2–4MP,1,-1,1,0,0,0,0,0,0,1,1,1,2,False
MSI Sword 16 HX B14V,1628.415,33,16.0,Other,300.0,Intel Core i7,Unknown,HDMI,ninguno,5.3,30 fps,2.0,lithium,7.0,65.0,200.0,missing,standard,26.6,35.9,2.3,Wi-Fi 6/6E,1,8.192,no_os,altavoces estéreo,16:10,24.0,16.0,ddr5,512.0,4,10.0,1.0,5.0,GDDR6,NVIDIA GeForce RTX 4060 Series,ninguno,None,Gigabit Ethernet,Laptop,missing,2.7,missing,None,24,55.0,Laptop – Gaming,1,MSI,37–41 cm,1920.0,1080.0,2073600.0,2–4MP,1,1,1,1,0,0,0,0,0,1,1,1,1,False
"Lenovo V15 G2
82QY00PUSP",318.765,26,15.6,Full HD,250.0,Intel Celeron,Unknown,HDMI,missing,5.0,compatible con HD,2.0,lithium,5.5,38.0,65.0,missing,standard,23.6,35.9,1.7,missing,1,8.192,freedos,altavoces estéreo,16:9,4.0,8.0,ddr4,256.0,3,2.0,1.0,2.0,Shared,Intel UHD,ninguno,None,Gigabit Ethernet,Laptop,missing,2.0,missing,None,4,6.0,Laptop – Standard,1,Lenovo,37–41 cm,1920,1080,2073600,2–4MP,0,1,1,1,0,0,0,0,0,1,0,1,4,False
HP Victus 16 2024,2703.5499999999997,110,16.1,Other,300.0,Intel Core i7,Unknown,HDMI,integrado,5.3,missing,2.0,lithium,7.0,83.0,230.0,missing,standard,25.9,36.9,2.33,Wi-Fi 6/6E,-1,8.192,no_os,other,16:9,24.0,16.0,Unknown,512.0,6,10.0,1.0,5.0,GDDR6,NVIDIA GeForce RTX 4060 Series,ninguno,panorámica,none,Laptop,missing,2.3,missing,None,24,55.0,Laptop – Gaming,1,HP,37–41 cm,1920.0,1080.0,2073600.0,2–4MP,1,-1,1,0,0,0,0,0,0,1,1,1,1,False
"Samsung Galaxy Book 4
NP750XGJ-KG2ES",798.495,3,15.6,Full HD,300.0,Intel Core i5,SSD,HDMI,integrado,5.3,compatible con HD,2.0,lithium,15.0,54.0,45.0,missing,standard,22.9,35.7,1.55,Wi-Fi 6/6E,1,8.192,windows 11 home,Dolby Atmos,16:9,12.0,16.0,lpddr,512.0,3,10.0,0.0,4.0,GDDR6,Intel Arc,ninguno,None,Gigabit Ethernet,Laptop,missing,1.5,missing,None,12,15.0,Laptop – Standard,1,Samsung,37–41 cm,1920,1080,2073600,2–4MP,0,1,1,1,0,0,0,0,0,1,0,1,1,False
"Apple MacBook Pro 14"" M4 (2024)
Silver MW2W3Y/A",1899.375,7,14.2,Retina,1000.0,Others,SSD,Thunderbolt,integrado,5.3,compatible con HD,6.0,lithium,13.0,70.0,67.0,metal,standard,22.1,31.3,1.6,Wi-Fi 6/6E,1,8.192,macos,altavoces estéreo,16:9,10.0,16.0,Unknown,512.0,3,10.0,1.0,4.0,Unified,Apple GPUs,ninguno,None,none,Laptop,missing,1.6,missing,None,4,15.0,Laptop – Standard,1,Apple,34–37 cm,3024,1964,5939136,>4MP,0,1,1,0,0,0,0,0,0,1,0,1,1,False
"ASUS Vivobook Go 15 E1504FA
E1504FA-NJ1041",467.84499999999997,19,15.6,Full HD,250.0,AMD Ryzen 5,SSD,HDMI,missing,0.0,missing,2.0,lithium,15.0,50.0,65.0,missing,standard,23.25,36.03,1.63,missing,1,8.192,freedos,SonicMaster,16:9,4.0,16.0,lpddr,512.0,3,4.0,2.0,4.0,GDDR5,AMD Radeon Other,ninguno,None,none,Laptop,missing,1.8,missing,None,12,15.0,Laptop – Standard,1,ASUS,37–41 cm,1920,1080,2073600,2–4MP,0,1,1,0,0,0,0,0,0,1,0,1,2,False
"GigaByte Aero 16 OLED BKF
BKF-73ES994SO",1550.6499999999999,18,16.0,UHD+,600.0,Intel Core i7,Unknown,HDMI,integrado,5.2,compatible con HD,2.0,lithium,7.0,88.0,240.0,missing,standard,25.5,35.4,1.9,Wi-Fi 6/6E,1,8.192,windows 11 home,other,16:10,24.0,16.0,ddr5,1000.0,4,14.0,1.0,5.0,GDDR6,NVIDIA GeForce RTX 4060 Series,ninguno,None,none,Laptop,missing,2.2,missing,None,24,45.0,Laptop – Gaming,1,GigaByte,37–41 cm,3840,2400,9216000,>4MP,0,1,1,0,0,0,0,0,0,1,0,1,2,False
MSI Katana 15 B13,1652.9049999999997,66,15.6,Other,300.0,Intel Core i7,Unknown,HDMI,missing,5.2,missing,2.0,lithium,7.0,53.5,200.0,missing,standard,25.9,35.9,2.25,Wi-Fi 6/6E,-1,8.192,no_os,altavoces estéreo,16:9,24.0,16.0,Unknown,512.0,3,10.0,1.0,5.0,GDDR6,NVIDIA GeForce RTX 4060 Series,ninguno,None,Gigabit Ethernet,Laptop,missing,2.5,missing,None,24,45.0,Laptop – Gaming,1,MSI,37–41 cm,1920.0,1080.0,2073600.0,2–4MP,1,-1,1,1,0,0,0,0,0,1,1,1,2,False
Lenovo V15 G3,945.635,178,15.6,Other,250.0,Intel Core i5,Unknown,HDMI,integrado,5.0,missing,0.0,lithium,10.0,35.0,65.0,missing,standard,23.6,35.9,1.7,Wi-Fi 5,-1,8.192,no_os,missing,16:9,12.0,16.0,Unknown,512.0,2,10.0,0.0029,4.0,Shared,Intel Iris,ninguno,panorámica,Gigabit Ethernet,Laptop,missing,2.0,missing,None,12,45.0,Laptop – Standard,1,Lenovo,37–41 cm,1920.0,1080.0,2073600.0,2–4MP,1,-1,1,1,0,0,0,0,0,1,1,1,3,False
